source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,ok,544,131,179,365,477,0,48,0,19,0,0,
Internshala,ok,1436,1095,1436,0,1132,125,66,0,113,0,0,
JobFound,ok,33,0,32,1,0,13,0,0,20,0,0,
Talentd,ok,3,2,3,0,3,0,0,0,0,0,0,
Unstop,empty,0,0,0,0,0,0,0,0,0,0,0,
CareerPage,empty,0,0,0,0,0,0,0,0,0,0,0,
Naukri,empty,0,0,0,0,0,0,0,0,0,0,0,
Foundit,empty,0,0,0,0,0,0,0,0,0,0,0,
Wellfound,empty,0,0,0,0,0,0,0,0,0,0,0,
Telegram,empty,0,0,0,0,0,0,0,0,0,0,0,
