source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,failed,0,0,0,0,0,0,0,0,0,0,0,timeout_120s
Internshala,ok,1447,1108,1447,0,1142,125,67,0,113,0,0,
JobFound,ok,33,0,32,1,0,13,0,0,20,0,0,
Talentd,ok,3,2,3,0,3,0,0,0,0,0,0,
Unstop,ok,1,1,1,0,1,0,0,0,0,0,0,
CareerPage,empty,0,0,0,0,0,0,0,0,0,0,0,
Naukri,failed,0,0,0,0,0,0,0,0,0,0,0,timeout_120s
Foundit,failed,0,0,0,0,0,0,0,0,0,0,0,timeout_120s
Wellfound,empty,0,0,0,0,0,0,0,0,0,0,0,
Telegram,empty,0,0,0,0,0,0,0,0,0,0,0,
