title,company,location,job_type,url,link,source,score,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst/Data Analyst/Office Executive,Syncretic Engineering,Bhopal,Internship,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,Internshala - Internship,6,,5 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Junior Data Analyst Intern,Skillzenloop,India,Job,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4386672274?position=54&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=9BwVTyI7JIqT5wOiokflDg%3D%3D,https://in.linkedin.com/jobs/view/junior-data-analyst-intern-at-skillzenloop-4386672274?position=54&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=9BwVTyI7JIqT5wOiokflDg%3D%3D,LinkedIn,6,2026-03-23,7 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,Usha International,"Gurugram, Haryana, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-usha-international-4389085100?position=5&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=7lT5%2Baem5UBofMmXgJZUrg%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-usha-international-4389085100?position=5&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=7lT5%2Baem5UBofMmXgJZUrg%3D%3D,LinkedIn,5,2026-03-23,5 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388691818?position=45&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=L227ahTAOxkNac9pLqrq8w%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388691818?position=45&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=L227ahTAOxkNac9pLqrq8w%3D%3D,LinkedIn,5,2026-03-23,7 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=44&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=1kGa97ZBl0zczFNHo%2FltjQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4388699511?position=44&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=1kGa97ZBl0zczFNHo%2FltjQ%3D%3D,LinkedIn,5,2026-03-23,7 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
"Business Analyst Internship Fx31Labs Private Limited No prior experience required Full Time In Office | Ahmedabad Artificial Intelligence (AI) Communication Skills Requirement Gathering +1 Business Analysis Engineering Students Postgraduate +4 10 K/Month Posted Mar 23, 2026 13 days left",Business Analyst Internship,India,Internship,https://unstop.com/internships/business-analyst-internship-fx31labs-private-limited-1664136,https://unstop.com/internships/business-analyst-internship-fx31labs-private-limited-1664136,Unstop,5,,,2026-03-23,22:38:13,hourly,24h,2026-03-23 22:47,,
"Data Analyst Internship Anand Consturction No prior experience required Full Time Work from Home Spreadsheet Software (Excel, Google Sheets) Tableau Data Analysis (Excel) +2 Data Analysis Engineering Students Postgraduate +3 10 K - 15 K/Month Posted Mar 23, 2026 9 days left",Data Analyst Internship,Work from Home,Internship,https://unstop.com/internships/data-analyst-internship-anand-consturction-1664048,https://unstop.com/internships/data-analyst-internship-anand-consturction-1664048,Unstop,5,,,2026-03-23,22:38:13,hourly,24h,2026-03-23 22:47,,
"Data Analyst Internship Wikasta Business and Technical Solutions Pvt. Ltd. No prior experience required Part Time Work from Home Data Collection Data Organization Spreadsheet Software (Excel, Google Sheets) +8 Data Analysis Engineering Students Postgraduate +1 7.5 K - 14.75 K/Month Posted Mar 23, 2026 14 days left",Data Analyst Internship,Work from Home,Internship,https://unstop.com/internships/data-analyst-internship-unstop-tech-fair-2025-wikasta-business-and-technical-solutions-pvt-ltd-1664070,https://unstop.com/internships/data-analyst-internship-unstop-tech-fair-2025-wikasta-business-and-technical-solutions-pvt-ltd-1664070,Unstop,5,,,2026-03-23,22:38:13,hourly,24h,2026-03-23 22:47,,
Junior Business Analyst,Drona Pay Private Limited,Mumbai,Job,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,Internshala - Job,4,,6 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Junior Data Analyst,DataVinci Private Limited,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,Internshala - Job,4,,2 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Commercial Junior Business Analyst,Inizio Ignite,"Gurugram, Haryana, India",Job,https://in.linkedin.com/jobs/view/commercial-junior-business-analyst-at-inizio-ignite-4389213890?position=25&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=YqOQIEnl%2B5eQurW4DR%2B3EQ%3D%3D,https://in.linkedin.com/jobs/view/commercial-junior-business-analyst-at-inizio-ignite-4389213890?position=25&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=YqOQIEnl%2B5eQurW4DR%2B3EQ%3D%3D,LinkedIn,4,2026-03-23,6 minutes ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Junior Business Analyst,EvolutionCo Group | CX • Design • Marketing • Tech • Innovation,"Mumbai, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/junior-business-analyst-at-evolutionco-group-cx-%E2%80%A2-design-%E2%80%A2-marketing-%E2%80%A2-tech-%E2%80%A2-innovation-4386676377?position=41&pageNum=0&refId=80WDhdEuS2Fq8KDNFObaHg%3D%3D&trackingId=7HuZff6it78XoG2bod8xpQ%3D%3D,https://in.linkedin.com/jobs/view/junior-business-analyst-at-evolutionco-group-cx-%E2%80%A2-design-%E2%80%A2-marketing-%E2%80%A2-tech-%E2%80%A2-innovation-4386676377?position=41&pageNum=0&refId=80WDhdEuS2Fq8KDNFObaHg%3D%3D&trackingId=7HuZff6it78XoG2bod8xpQ%3D%3D,LinkedIn,4,2026-03-23,6 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,ViralChilly,Jaipur,Internship,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,Internshala - Internship,3,,2 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst,Evolko,Lucknow,Internship,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,Internshala - Internship,3,,1 week ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst,Brain Quest,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-business-analyst-internship-at-brain-quest1773304101,https://internshala.com/internship/detail/work-from-home-business-analyst-internship-at-brain-quest1773304101,Internshala - Internship,3,,1 week ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst Assistant,Ozibook Tech Solutions Private Limited,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-part-time-business-analyst-assistant-internship-at-ozibook-tech-solutions-private-limited1772007360,https://internshala.com/internship/detail/work-from-home-part-time-business-analyst-assistant-internship-at-ozibook-tech-solutions-private-limited1772007360,Internshala - Internship,3,,3 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst,Zorvyn,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zorvyn1771821504,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zorvyn1771821504,Internshala - Internship,3,,3 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst,Awakn,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-awakn1773659036,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-awakn1773659036,Internshala - Internship,3,,7 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst,Zetheta Algorithms Private Limited,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zetheta-algorithms-private-limited1774087746,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zetheta-algorithms-private-limited1774087746,Internshala - Internship,3,,2 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Football Data Analysts,Ball2Data,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-football-data-analysts-internship-at-ball2data1773723088,https://internshala.com/internship/detail/work-from-home-football-data-analysts-internship-at-ball2data1773723088,Internshala - Internship,3,,6 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Techno Functional Operations/Data Analyst,Alchelyst India Pvt Ltd,Bangalore,Internship,https://internshala.com/internship/detail/techno-functional-operations-data-analyst-internship-in-bangalore-at-alchelyst-india-pvt-ltd1773892952,https://internshala.com/internship/detail/techno-functional-operations-data-analyst-internship-in-bangalore-at-alchelyst-india-pvt-ltd1773892952,Internshala - Internship,3,,4 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst,Innovfix Private Limited,Bangalore (Hybrid),Job,https://internshala.com/job/detail/fresher-business-analyst-job-in-bangalore-at-innovfix-private-limited1772776422,https://internshala.com/job/detail/fresher-business-analyst-job-in-bangalore-at-innovfix-private-limited1772776422,Internshala - Job,3,,2 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst,Stage X,Bhopal,Job,https://internshala.com/job/detail/business-analyst-job-in-bhopal-at-stage-x1771934313,https://internshala.com/job/detail/business-analyst-job-in-bhopal-at-stage-x1771934313,Internshala - Job,3,,3 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst,Antano&Harini,Chennai,Job,https://internshala.com/job/detail/business-analyst-job-in-chennai-at-antano-harini1772865767,https://internshala.com/job/detail/business-analyst-job-in-chennai-at-antano-harini1772865767,Internshala - Job,3,,2 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst,SMB Catalyst,Mumbai,Job,https://internshala.com/job/detail/business-analyst-job-in-mumbai-at-smb-catalyst1772736958,https://internshala.com/job/detail/business-analyst-job-in-mumbai-at-smb-catalyst1772736958,Internshala - Job,3,,2 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst,Truetribe Advisors,Mumbai,Job,https://internshala.com/job/detail/fresher-business-analyst-job-in-mumbai-at-truetribe-advisors1772691195,https://internshala.com/job/detail/fresher-business-analyst-job-in-mumbai-at-truetribe-advisors1772691195,Internshala - Job,3,,2 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst,Gluzo,Noida,Job,https://internshala.com/job/detail/fresher-business-analyst-job-in-noida-at-gluzo1773157014,https://internshala.com/job/detail/fresher-business-analyst-job-in-noida-at-gluzo1773157014,Internshala - Job,3,,1 week ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Business Analyst,UNIPREP,Work from home,Job,https://internshala.com/job/detail/fresher-remote-business-analyst-job-at-uniprep1774185518,https://internshala.com/job/detail/fresher-remote-business-analyst-job-at-uniprep1774185518,Internshala - Job,3,,1 day ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst,"E-Health Research Center, IIIT-Bangalore",Bangalore,Job,https://internshala.com/job/detail/data-analyst-job-in-bangalore-at-e-health-research-center-iiit-bangalore1771949991,https://internshala.com/job/detail/data-analyst-job-in-bangalore-at-e-health-research-center-iiit-bangalore1771949991,Internshala - Job,3,,3 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst,Amicon Hub Services,Noida,Job,https://internshala.com/job/detail/data-analyst-job-in-noida-at-amicon-hub-services1773049033,https://internshala.com/job/detail/data-analyst-job-in-noida-at-amicon-hub-services1773049033,Internshala - Job,3,,2 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst,Tata Consultancy Services,Work from home,Job,https://internshala.com/job/detail/fresher-remote-data-analyst-job-at-tata-consultancy-services1774003992,https://internshala.com/job/detail/fresher-remote-data-analyst-job-at-tata-consultancy-services1774003992,Internshala - Job,3,,3 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst,Arcana,Work from home,Job,https://internshala.com/job/detail/fresher-remote-data-analyst-job-at-arcana1769301339,https://internshala.com/job/detail/fresher-remote-data-analyst-job-at-arcana1769301339,Internshala - Job,3,,3 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst,Navi,Work from home,Job,https://internshala.com/job/detail/remote-data-analyst-job-at-navi1772876947,https://internshala.com/job/detail/remote-data-analyst-job-at-navi1772876947,Internshala - Job,3,,2 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Bengali Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-bengali-speaker-job-at-peroptyx1774023771,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-bengali-speaker-job-at-peroptyx1774023771,Internshala - Job,3,,3 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (English Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-english-speaker-job-at-peroptyx1774022555,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-english-speaker-job-at-peroptyx1774022555,Internshala - Job,3,,3 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Gujarati Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-gujarati-speaker-job-at-peroptyx1774024430,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-gujarati-speaker-job-at-peroptyx1774024430,Internshala - Job,3,,3 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Kannada Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-kannada-speaker-job-at-peroptyx1774023424,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-kannada-speaker-job-at-peroptyx1774023424,Internshala - Job,3,,3 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Malayalam Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-malayalam-speaker-job-at-peroptyx1773399470,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-malayalam-speaker-job-at-peroptyx1773399470,Internshala - Job,3,,1 week ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Marathi Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-marathi-speaker-job-at-peroptyx1774023194,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-marathi-speaker-job-at-peroptyx1774023194,Internshala - Job,3,,3 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Odia/Oriya Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-odia-oriya-speaker-job-at-peroptyx1774022923,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-odia-oriya-speaker-job-at-peroptyx1774022923,Internshala - Job,3,,3 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Punjabi Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-punjabi-speaker-job-at-peroptyx1774024101,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-punjabi-speaker-job-at-peroptyx1774024101,Internshala - Job,3,,3 days ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Tamil Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-tamil-speaker-job-at-peroptyx1772801982,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-tamil-speaker-job-at-peroptyx1772801982,Internshala - Job,3,,2 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Telugu Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-telugu-speaker-job-at-peroptyx1772802048,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-telugu-speaker-job-at-peroptyx1772802048,Internshala - Job,3,,2 weeks ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Data Analyst (Urdu Speaker),"Peroptyx (Castlebar, Ireland)",Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-urdu-speaker-job-at-peroptyx1773399715,https://internshala.com/job/detail/fresher-remote-part-time-data-analyst-urdu-speaker-job-at-peroptyx1773399715,Internshala - Job,3,,1 week ago,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
Online Data Analyst - Odia,TELUS Digital,Work from home,Job,https://internshala.com/job/detail/fresher-remote-part-time-online-data-analyst-odia-job-at-telus-digital1772152273,https://internshala.com/job/detail/fresher-remote-part-time-online-data-analyst-odia-job-at-telus-digital1772152273,Internshala - Job,3,,today,2026-03-23,22:37:09,hourly,24h,2026-03-23 22:47,,
"Associate Data Analyst (New Graduate, Thai Speaking) (Marketing Analytics, Bangkok Based)",Agoda,Greater Kolkata Area,Job,https://in.linkedin.com/jobs/view/associate-data-analyst-new-graduate-thai-speaking-marketing-analytics-bangkok-based-at-agoda-4299778203?position=9&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=W4o11W008hM9DVkOdpbAFQ%3D%3D,https://in.linkedin.com/jobs/view/associate-data-analyst-new-graduate-thai-speaking-marketing-analytics-bangkok-based-at-agoda-4299778203?position=9&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=W4o11W008hM9DVkOdpbAFQ%3D%3D,LinkedIn,3,2026-03-23,1 hour ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
"Associate Data Analyst (New Graduate, Thai Speaking) (Marketing Analytics, Bangkok Based)",Agoda,Greater Lucknow Area,Job,https://in.linkedin.com/jobs/view/associate-data-analyst-new-graduate-thai-speaking-marketing-analytics-bangkok-based-at-agoda-4299767619?position=60&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=eOseYeAyD2eBO%2FDaOmrzug%3D%3D,https://in.linkedin.com/jobs/view/associate-data-analyst-new-graduate-thai-speaking-marketing-analytics-bangkok-based-at-agoda-4299767619?position=60&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=eOseYeAyD2eBO%2FDaOmrzug%3D%3D,LinkedIn,3,2026-03-22,22 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
"Associate Data Analyst (New Graduate, Thai Speaking) (Marketing Analytics, Bangkok Based)",Agoda,"Pune Division, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/associate-data-analyst-new-graduate-thai-speaking-marketing-analytics-bangkok-based-at-agoda-4299758972?position=43&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=DB%2F%2FIGh2LhX%2Bw4H4QdjJ9A%3D%3D,https://in.linkedin.com/jobs/view/associate-data-analyst-new-graduate-thai-speaking-marketing-analytics-bangkok-based-at-agoda-4299758972?position=43&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=DB%2F%2FIGh2LhX%2Bw4H4QdjJ9A%3D%3D,LinkedIn,3,2026-03-22,22 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
BUSINESS ANALYST L4,Wipro,"Pune Division, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/business-analyst-l4-at-wipro-4389216052?position=3&pageNum=0&refId=aRPB%2BIxACRPADckPFnh08g%3D%3D&trackingId=ArkSuloaOLEwLxpfvkimbQ%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-l4-at-wipro-4389216052?position=3&pageNum=0&refId=aRPB%2BIxACRPADckPFnh08g%3D%3D&trackingId=ArkSuloaOLEwLxpfvkimbQ%3D%3D,LinkedIn,3,2026-03-23,1 hour ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,PlaySimple Games,"Bangalore North Rural, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-playsimple-games-4389052389?position=39&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=9Ve2N9L%2BMeNTYMEwIShcHg%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-playsimple-games-4389052389?position=39&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=9Ve2N9L%2BMeNTYMEwIShcHg%3D%3D,LinkedIn,3,2026-03-22,22 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,Scoutit,"Bangalore Rural, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388907725?position=54&pageNum=0&refId=80WDhdEuS2Fq8KDNFObaHg%3D%3D&trackingId=XdoQ%2F59MMcJx72eLqADkVw%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388907725?position=54&pageNum=0&refId=80WDhdEuS2Fq8KDNFObaHg%3D%3D&trackingId=XdoQ%2F59MMcJx72eLqADkVw%3D%3D,LinkedIn,3,2026-03-23,4 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,Scoutit,"Bangalore Urban district, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388912451?position=36&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=3SWuE0wxQbuJ0eY3uwsmWA%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388912451?position=36&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=3SWuE0wxQbuJ0eY3uwsmWA%3D%3D,LinkedIn,3,2026-03-23,4 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,Scoutit,"Bengaluru East, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388922138?position=21&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=cUH%2BacQ0yfRkcyUqSN6TOA%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388922138?position=21&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=cUH%2BacQ0yfRkcyUqSN6TOA%3D%3D,LinkedIn,3,2026-03-23,4 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,Scoutit,"Bengaluru North, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388905681?position=22&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=ecxoikLtlj6YQG5h4v5Ong%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388905681?position=22&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=ecxoikLtlj6YQG5h4v5Ong%3D%3D,LinkedIn,3,2026-03-23,4 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,Scoutit,"Bengaluru South, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388915375?position=6&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=%2BMidTK6GIJkM2C7ykWNGfg%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388915375?position=6&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=%2BMidTK6GIJkM2C7ykWNGfg%3D%3D,LinkedIn,3,2026-03-23,4 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,Insight Global,"Bengaluru, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-insight-global-4388910011?position=9&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=wJC9Wm76QEU5NCMEQ9csKg%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-insight-global-4388910011?position=9&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=wJC9Wm76QEU5NCMEQ9csKg%3D%3D,LinkedIn,3,2026-03-23,7 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,Scoutit,"Bengaluru, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388914376?position=7&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=IuJe5Mvk%2BAFAlrm58%2BTn%2BQ%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388914376?position=7&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=IuJe5Mvk%2BAFAlrm58%2BTn%2BQ%3D%3D,LinkedIn,3,2026-03-23,4 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Business Analyst,Scoutit,"Delhi, India",Job,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388914292?position=11&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=e%2BCSZAfj9CQwdnDVprJDuA%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388914292?position=11&pageNum=0&refId=L5FJR26Cb9KA%2FzP4JX%2FbKA%3D%3D&trackingId=e%2BCSZAfj9CQwdnDVprJDuA%3D%3D,LinkedIn,3,2026-03-23,4 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
