title,company,location,job_type,url,link,source,score,skills,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Business Analyst/Data Analyst/Office Executive,Syncretic Engineering,Bhopal,Internship,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,https://internshala.com/internship/detail/business-analyst-data-analyst-office-executive-internship-in-bhopal-at-syncretic-engineering1773841939,Internshala - Internship,6,,,7 days ago,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
Data Analyst Intern - SQL & Power BI,Versich,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-data-analyst-intern-sql-power-bi-internship-at-versich1774344854,https://internshala.com/internship/detail/work-from-home-data-analyst-intern-sql-power-bi-internship-at-versich1774344854,Internshala - Internship,5,,,1 day ago,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
Finance & Data Analyst Intern,Plootus,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-finance-data-analyst-intern-internship-at-plootus1774434968,https://internshala.com/internship/detail/work-from-home-finance-data-analyst-intern-internship-at-plootus1774434968,Internshala - Internship,5,,,,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
"Data Analyst Intern (Excel, SQL, Power BI)",ArGo Intern,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4390126423?position=2&pageNum=2&refId=RyF9nGCU8Ona93PV5DIZpg%3D%3D&trackingId=OhOdLFkVKEokfI8joX9NZA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-argo-intern-4390126423?position=2&pageNum=2&refId=RyF9nGCU8Ona93PV5DIZpg%3D%3D&trackingId=OhOdLFkVKEokfI8joX9NZA%3D%3D,LinkedIn,5,,2026-03-25,4 hours ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,India,Job,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4390145655?position=3&pageNum=0&refId=2nNGgXdCzKN2Zj7c0n7MKA%3D%3D&trackingId=eUNEF0Wy5%2FGKlwAgY3DG%2Bg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4390145655?position=3&pageNum=0&refId=2nNGgXdCzKN2Zj7c0n7MKA%3D%3D&trackingId=eUNEF0Wy5%2FGKlwAgY3DG%2Bg%3D%3D,LinkedIn,5,,2026-03-25,32 minutes ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
Junior Business Analyst,Drona Pay Private Limited,Mumbai,Job,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,https://internshala.com/job/detail/fresher-junior-business-analyst-job-in-mumbai-at-drona-pay-private-limited1773723555,Internshala - Job,4,,,1 week ago,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
Junior Business Analyst,Zulitech Solution,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,https://internshala.com/job/detail/fresher-remote-junior-business-analyst-job-at-zulitech-solution1772197934,Internshala - Job,4,,,3 weeks ago,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
Junior Data Analyst,DataVinci Private Limited,Work from home,Job,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,https://internshala.com/job/detail/fresher-remote-junior-data-analyst-job-at-datavinci-private-limited1772696243,Internshala - Job,4,,,2 weeks ago,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
Junior Data Analyst,Job Returns,India,Job,https://in.linkedin.com/jobs/view/junior-data-analyst-at-job-returns-4389876889?position=28&pageNum=0&refId=VP%2B6VewpNf5dCCZreDVNWw%3D%3D&trackingId=pP%2BM5jwxwwgDrVIhk%2BUgQg%3D%3D,https://in.linkedin.com/jobs/view/junior-data-analyst-at-job-returns-4389876889?position=28&pageNum=0&refId=VP%2B6VewpNf5dCCZreDVNWw%3D%3D&trackingId=pP%2BM5jwxwwgDrVIhk%2BUgQg%3D%3D,LinkedIn,4,,2026-03-25,11 hours ago,2026-03-25,21:57:48,hourly,24h,2026-03-25 22:18,,
Business Analyst,ViralChilly,Jaipur,Internship,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,https://internshala.com/internship/detail/business-analyst-internship-in-jaipur-at-viralchilly1774071602,Internshala - Internship,3,,,4 days ago,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
Business Analyst,Evolko,Lucknow,Internship,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,Internshala - Internship,3,,,2 weeks ago,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
Business Analyst,Brain Quest,Work from home,Internship,https://internshala.com/internship/detail/work-from-home-business-analyst-internship-at-brain-quest1773304101,https://internshala.com/internship/detail/work-from-home-business-analyst-internship-at-brain-quest1773304101,Internshala - Internship,3,,,1 week ago,2026-03-25,22:01:12,hourly,24h,2026-03-25 22:18,,
